,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
84,TQBR,2020-02-12,МосБиржа,MOEX,14106,826012036.2,114.39,112.22,114.49,112.91,112.78,112.91,7322380,112.81,112.81,112.91,826012036.2,826012036.2,826012036.2,,3,SUR,-0.96
85,TQBR,2020-02-11,МосБиржа,MOEX,11841,624580561.4,113.8,112.14,115.0,114.0,113.78,114.0,5489370,113.78,113.78,114.0,624580561.4,624580561.4,624580561.4,,3,SUR,0.18
86,TQBR,2020-02-10,МосБиржа,MOEX,15253,753279383.4,112.7,111.52,113.94,113.8,113.13,113.8,6658260,113.13,113.13,113.8,753279383.4,753279383.4,753279383.4,,3,SUR,0.57
0,TQBR,2020-02-07,МосБиржа,MOEX,10270,558467010.9,112.4,111.31,113.38,113.16,112.19,113.16,4977880,112.19,112.19,113.16,558467010.9,558467010.9,558467010.9,,3,SUR,0.66
1,TQBR,2020-02-06,МосБиржа,MOEX,14712,877535812.8,113.79,110.49,114.3,112.42,112.83,112.42,7778090,112.82,112.82,112.42,877535812.8,877535812.8,877535812.8,,3,SUR,-0.78
2,TQBR,2020-02-05,МосБиржа,MOEX,14548,673062402.3,113.97,112.47,114.55,113.3,113.59,113.3,5923470,113.63,113.63,113.3,673062402.3,673062402.3,673062402.3,,3,SUR,-0.04
3,TQBR,2020-02-04,МосБиржа,MOEX,34041,1122829119.3,111.45,111.22,113.94,113.35,112.81,113.35,9953660,112.81,112.81,113.35,1122829119.3,1122829119.3,1122829119.3,,3,SUR,2.17
4,TQBR,2020-02-03,МосБиржа,MOEX,21815,850136986.1,108.0,107.47,111.89,110.94,110.48,110.94,7694940,110.48,110.48,110.94,850136986.1,850136986.1,850136986.1,,3,SUR,0.91
5,TQBR,2020-01-31,МосБиржа,MOEX,12172,615582421.4,111.85,109.94,112.5,109.94,111.21,109.94,5535300,111.21,111.21,109.94,615582421.4,615582421.4,615582421.4,,3,SUR,-1.67
6,TQBR,2020-01-30,МосБиржа,MOEX,10406,601484798.5,111.5,110.81,112.58,111.81,111.8,111.81,5379930,111.8,111.8,111.81,601484798.5,601484798.5,601484798.5,,3,SUR,0.01
